CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-10-09,2023-03-28 11:27:56.840,,60625,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-10-09,2023-03-28 11:27:57.443,,60626,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-10-09,2023-03-28 11:27:58.113,,60627,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-10-09,2023-03-28 11:27:58.677,,60628,,,2005.02
2851L1R1RFM1010,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,2023-10-09,2023-07-27 10:31:53.690,,61516,,,3771.0
2851L1R1RFM1012,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,2023-10-09,2023-07-27 10:31:52.890,,61515,,,3771.0
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:37.453,,61470,,,457.3
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:38.323,,61471,,,457.3
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:39.133,,61472,,,457.3
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:39.923,,61473,,,457.3
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:40.750,,61474,,,457.3
1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,2023-10-04,2023-07-21 14:01:41.463,,61475,,,457.3
1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:31.487,,61463,,,509.58
1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:32.327,,61464,,,509.58
1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:33.097,,61465,,,509.58
1816X8M7HAM1910,"1800 1/2""x3/4"" BSPT(M)xBSP(H)",1.0,2023-10-04,2023-07-24 09:31:59.817,,61476,,,684.0
1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,2023-10-04,2023-07-21 14:01:20.473,,61454,,,539.5
1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,2023-10-04,2023-07-21 14:01:21.363,,61455,,,539.5
1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,2023-10-04,2023-07-21 14:01:25.963,,61456,,,539.5
1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,2023-10-04,2023-07-21 14:01:26.790,,61457,,,539.5
1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,2023-10-04,2023-07-21 14:01:27.517,,61458,,,539.5
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:28.200,,61459,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:29.010,,61460,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:29.860,,61461,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:30.670,,61462,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:33.983,,61466,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:34.730,,61467,,,609.62
1827X7M7HFM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,2023-10-04,2023-07-21 14:01:35.550,,61468,,,609.62
1841X7M7HFM1310,"1800 2""x2.1/2"" BSP(M)xBSP(H) Con Palanca.",1.0,2023-10-04,2023-07-21 14:01:36.310,,61469,,,943.42
2128D5R2RAM1027,"2100 1""D2"" 1500(RF)x300(RF)",1.0,2023-10-04,2023-07-07 10:32:37.117,,61361,,,2323.9
2138G5R2RAM1027,"2100 1.1/2""G3"" 1500(RF)x300(RF)",1.0,2023-10-04,2023-07-07 10:32:34.327,,61357,,,3853.9
2138G5R2RAM1027,"2100 1.1/2""G3"" 1500(RF)x300(RF)",1.0,2023-10-04,2023-07-07 10:32:35.080,,61358,,,3853.9
2138G5R2RAM1027,"2100 1.1/2""G3"" 1500(RF)x300(RF)",1.0,2023-10-04,2023-07-07 10:32:35.813,,61359,,,3853.9
2138G5R2RAM1027,"2100 1.1/2""G3"" 1500(RF)x300(RF)",1.0,2023-10-04,2023-07-07 10:32:36.450,,61360,,,3853.9
