PEDIDO,FE_EMIT,FE_ENTREGA,X,y
56242,737345,737361,"[ 6  6  6 12 12  6  6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6
  6  6  6 12  8  5  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[12]
56371,737344,737361,"[ 6  6  6 12 12  6  6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6
  6  6  6 12  8  5  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56400,737353,737362,"[ 6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6  6  6  6 12  8  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56399,737353,737362,"[ 6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6  6  6  6 12  8  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56398,737353,737362,"[ 6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6  6  6  6 12  8  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56397,737353,737362,"[ 6  6  6  6  6  6  6  4  1  1  0 11 11 11 11 11 11  6  6  6  6 12  8  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56377,737344,737363,"[ 6  6  6  4  1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56381,737344,737363,"[ 6  6  6  4  1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56380,737344,737363,"[ 6  6  6  4  1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5
  5  5  6  6  6  6 11 11 11 11 20 20 12 12 12]",[6]
56374,737344,737364,"[ 4  1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5  5  5  6
  6  6  6 11 11 11 11 20 20 12 12 12]",[4]
56319,737345,737366,"[ 1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5  5  5  6  6
  6  6 11 11 11 11 20 20 12 12 12]",[1]
56318,737345,737366,"[ 1  1  0  5 11 11 11 11 11 11  6  6  6  6 12  8  5  5  5  5  5  5  6  6
  6  6 11 11 11 11 20 20 12 12 12]",[1]
56373,737344,737370,"[ 0  5 11 11 11 11 11 11  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  6
  6  6 12  6 11 11 11 11 20 20 12 12 12 12 12 12 12]",[0]
56419,737363,737370,"[ 0  5 11 11 11 11 11 11  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  6
  6  6 12  6 11 11 11 11 20 20 12 12 12 12 12 12 12]",[5]
56325,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56329,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56328,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56327,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56326,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56330,737345,737377,"[11 11 11 11 11 11  6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5
  6  6  6 12  5  6  4  4  4  4  4  4  5  5 11 11 11 11 20 20 12 12 12 12
 12 12 12]",[11]
56389,737351,737380,"[ 6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6
  5  4  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56390,737351,737380,"[ 6  6  6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6
  5  4  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56405,737358,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56406,737358,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56435,737370,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56437,737370,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56474,737374,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56436,737370,737386,"[ 6  6  6  6  6  6 12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4
  4  4  4  4  6  4  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6 11 12
 11 12 12 20 20  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12]",[6]
56388,737360,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[12]
56285,737345,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[8]
56284,737336,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56286,737336,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56414,737371,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56387,737360,737388,"[12  8  5  5  5  5  5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4
  5  5  5 11 11 11 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20
  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56472,737374,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
56417,737363,737392,"[ 5  5  5  5  6  6  6 12  5  6  5  4  4  4  4  4  6  4  5  5  5 11 11 11
 11  6  6  9  9 12 12  6  6  6  6 11 12 11 12 12 20 20  9  9  9  9 12 12
 12 12 12 12 12 12 12 12 12 12 12 12]",[5]
