codigos,Tiempos,Cant_piezas,T_Fabricacion,T_Ciclo,maquina
D-16484-T1,2023-06-17 15:58:50.107,1,359.0,15.0,CN4
D-16484-T1,2023-06-21 14:07:29.357,6,12.0,2.0,CN4
D-15514-T1,2023-06-21 16:32:42.217,5,145.0,15.0,CN4
D-15514-T2,2023-06-21 16:40:32.250,1,8.0,7.0,CN4
D-12765-T2,2023-06-21 17:09:26.020,1,29.0,26.0,CN4
D-15744-T1,2023-06-21 17:19:38.067,1,10.0,9.0,CN4
D-12765-T1,2023-06-21 18:59:50.937,11,100.0,9.0,CN4
D-16484-T2,2023-06-21 13:55:24.857,7,235.0,15.0,CN4
D-16486-T1,2023-06-22 13:03:38.700,9,153.0,15.0,CN4
D-15744-T1,2023-06-22 14:55:17.667,11,112.0,15.0,CN4
D-16486-T2,2023-06-22 16:19:13.267,3,84.0,15.0,CN4
D-12760-T1,2023-06-22 16:55:15.633,2,36.0,15.0,CN4
D-12265-T2,2023-06-22 17:56:03.743,2,61.0,15.0,CN4
D-13526-T1,2023-07-24 18:54:47.697,7,715.0,101.0,CN4
D-15964-T2,2023-07-21 18:06:06.760,12,666.0,55.0,CN4
D-12798-14-T1,2023-07-27 13:04:12.883,85,-350.0,-4.0,CN6
C-10957-08-T1,2023-07-27 18:54:21.880,-71,714.0,-10.0,CN6
C-13495-1-T3-CN5,2023-07-20 18:54:51.557,1,76.0,69.0,CN5
C-13850-1-T3-CN5,2023-07-20 17:38:42.907,4,639.0,156.0,CN5
D-15721-1-T1-CN5,2023-07-24 18:53:51.950,3,414.0,134.0,CN5
C-13495-1-T3-CN5,2023-07-24 11:59:42.250,1,300.0,273.0,CN5
D-15721-1-T1-CN5,2023-07-25 18:53:28.163,7,713.0,100.0,CN5
D-18025-14-T1,2023-07-24 18:53:52.157,15,189.0,13.0,CN6
C-10957-08-T1,2023-07-24 15:44:59.737,47,525.0,11.0,CN6
C-10957-08-T1,2023-07-25 18:53:51.340,4,714.0,174.0,CN6
D-13516-1-T1-CN5,2023-07-26 18:58:52.317,4,272.0,66.0,CN5
D-15721-1-T1-CN5,2023-07-26 14:26:58.857,2,447.0,213.0,CN5
D-13976,2023-07-26 17:36:59.870,2,49.0,23.0,CN4
D-17153-10-T1,2023-07-26 16:19:46.400,7,123.0,17.0,CN6
D-17153-10-T2,2023-07-26 16:50:00.217,3,30.0,10.0,CN6
D-12798-14-T1,2023-07-26 18:54:50.117,1,125.0,114.0,CN6
C-10957-08-T1,2023-07-26 14:17:08.163,5,437.0,86.0,CN6
D-13082-1-T1-CN5,2023-07-27 20:54:51.807,13,835.0,64.0,CN5
D-13871-1-T1-CN5,2023-07-11 13:22:21.577,1,50.0,45.0,CN5
D-15721-1-T1-CN5,2023-07-11 16:54:40.147,3,212.0,68.0,CN5
C-13850-1-T1-CN5,2023-07-11 18:51:33.940,1,117.0,106.0,CN5
C-13495-1-T1-CN5,2023-07-12 18:58:48.857,1,84.0,76.0,CN5
C-13850-1-T1-CN5,2023-07-12 17:34:51.047,4,455.0,111.0,CN5
C-13497-1-T1-CN5,2023-07-14 17:26:34.150,1,86.0,78.0,CN5
C-13497-1-T2-CN5,2023-07-14 18:53:50.577,1,87.0,79.0,CN5
C-13495-1-T1-CN5,2023-07-14 16:00:32.907,5,361.0,71.0,CN5
C-13495-1-T2-CN5,2023-07-15 14:45:05.127,7,247.0,35.0,CN5
C-13850-1-T2-CN5,2023-07-15 15:50:55.717,2,66.0,31.0,CN5
C-13850-1-T2-CN5,2023-07-17 18:36:11.583,10,516.0,51.0,CN5
D-13917-T1,2023-05-10 11:56:27.750,7,20.0,15.0,CN4
D-13458,2023-05-10 12:00:18.983,1,4.0,4.0,CN4
D-16249,2023-05-10 12:16:33.893,3,16.0,5.0,CN4
D-13254,2023-05-10 12:34:18.077,4,18.0,4.0,CN4
D-13462,2023-05-10 13:57:59.540,28,84.0,3.0,CN4
D-13383,2023-05-10 14:32:41.430,12,35.0,3.0,CN4
D-13462,2023-05-10 16:08:30.583,36,96.0,3.0,CN4
D-13382,2023-05-10 16:41:26.350,13,33.0,3.0,CN4
D-17811-T1,2023-05-10 17:33:09.467,1,52.0,15.0,CN4
D-18245-T2,2023-05-10 18:22:25.913,2,49.0,15.0,CN4
