,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
47,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61471,,,457.3
48,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61472,,,457.3
49,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61473,,,457.3
50,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61474,,,457.3
51,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61475,,,457.3
52,1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61463,,,509.58
53,1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61464,,,509.58
54,1816X7M7HFM1310,"1800 1/2""x3/4"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61465,,,509.58
55,1816X8M7HAM1910,"1800 1/2""x3/4"" BSPT(M)xBSP(H)",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738629,,61476,,,684.0
56,1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61454,,,539.5
57,1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61455,,,539.5
58,1821X7M7HFM1310,"1800 3/4""x1"" BSP(M)xBSP(H) con palanca de prueba",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61456,,,539.5
